文件,地点id(b228),序号(b229),子网格,列数(5cd85),行数(5cd86),数组条数(=2×行),每数组长度(=2×列),首址,步长,独立值数,取值集合
$3$MPINIT.txt,1d,4,0,1c,f,30,56,0x5bd46,0x41,5,0 1 2 1b 26
$3$MPINIT.txt,1e,1,0,9,c,24,18,0x5bd46,0x41,6,0 1 2 3 d e
$3$MPINIT.txt,1e,2,0,14,13,38,40,0x5bd46,0x41,5,0 1 2 a d
$3$MPINIT.txt,1e,3,0,10,c,24,32,0x5bd46,0x41,6,0 1 2 d 10 11
$3$MPINIT.txt,1e,4,0,13,11,34,38,0x5bd46,0x41,8,0 1 2 3 a b d e
$3$MPINIT.txt,1e,5,0,14,12,36,40,0x5bd46,0x41,7,0 1 2 d 12 23 24
$3$MPINIT.txt,1e,6,0,f,f,30,30,0x5bd46,0x41,6,0 1 2 3 d e
$3$MPINIT.txt,1e,7,0,c,19,50,24,0x5bd46,0x41,5,0 1 2 3 e
$3$MPINIT.txt,20,1,0,5,8,16,10,0x5bd46,0x41,4,0 1 2 c
$3$MPINIT.txt,20,2,0,5,8,16,10,0x5bd46,0x41,4,0 1 2 c
$3$MPINIT.txt,20,3,0,5,8,16,10,0x5bd46,0x41,4,0 1 2 c
$3$MPINIT.txt,20,3,1,f,f,30,30,0x5bd46,0x41,4,0 1 2 a
$3$MPINIT.txt,20,3,2,9,1a,52,18,0x5bd46,0x41,4,0 1 2 d
$4$MPINIT.txt,5,5,0,13,13,38,38,0x5bd46,0x41,6,0 1 2 4 d 12
$4$MPINIT.txt,5,6,0,9,b,22,18,0x5bd46,0x41,4,0 1 2 d
$5$MPINIT.txt,1f,1,0,14,b,22,40,0x5bd46,0x41,4,0 1 2 d
$5$MPINIT.txt,1f,2,0,d,13,38,26,0x5bd46,0x41,6,0 1 2 3 d e
$5$MPINIT.txt,1f,3,0,f,16,44,30,0x5bd46,0x41,8,0 1 2 3 4 a d e
$5$MPINIT.txt,1f,4,0,12,10,32,36,0x5bd46,0x41,5,0 1 2 1d 23
$5$MPINIT.txt,1f,4,1,12,10,32,36,0x5bd46,0x41,5,0 1 2 1d 23
MPINIT.txt,1,1,0,5,9,18,10,0x5bd46,0x41,6,0 1 2 3 d e
MPINIT.txt,1,2,0,a,a,20,20,0x5bd46,0x41,5,0 1 2 a d
MPINIT.txt,2,1,0,9,9,18,18,0x5bd46,0x41,5,0 1 2 a d
MPINIT.txt,2,2,0,8,8,16,16,0x5bd46,0x41,4,0 1 2 d
MPINIT.txt,2,3,0,a,9,18,20,0x5bd46,0x41,4,0 1 2 d
MPINIT.txt,2,4,0,a,c,24,20,0x5bd46,0x41,8,0 1 2 3 a d e 12
MPINIT.txt,2,5,0,9,a,20,18,0x5bd46,0x41,6,0 1 2 3 d e
MPINIT.txt,2,6,0,c,a,20,24,0x5bd46,0x41,6,0 1 2 3 a e
MPINIT.txt,2,7,0,d,a,20,26,0x5bd46,0x41,5,0 1 2 d 23
MPINIT.txt,2,8,0,c,9,18,24,0x5bd46,0x41,5,0 1 2 a d
MPINIT.txt,2,9,0,d,e,28,26,0x5bd46,0x41,7,0 1 2 3 a d e
MPINIT.txt,3,1,0,9,11,34,18,0x5bd46,0x41,9,0 1 2 3 8 d e 22 23
MPINIT.txt,3,2,0,8,c,24,16,0x5bd46,0x41,6,0 1 2 5 8 d
MPINIT.txt,3,3,0,a,a,20,20,0x5bd46,0x41,5,0 1 2 d 23
MPINIT.txt,5,1,0,e,e,28,28,0x5bd46,0x41,7,0 1 2 3 d e 23
MPINIT.txt,5,2,0,f,10,32,30,0x5bd46,0x41,8,0 1 2 3 a d e 10
MPINIT.txt,5,3,0,8,8,16,16,0x5bd46,0x41,6,0 1 2 3 d e
MPINIT.txt,5,4,0,12,f,30,36,0x5bd46,0x41,5,0 1 2 d 24
MPINIT.txt,6,1,0,c,e,28,24,0x5bd46,0x41,9,0 1 2 3 d e 19 23 24
MPINIT.txt,6,2,0,e,10,32,28,0x5bd46,0x41,10,0 1 2 3 c d e f 19 26
MPINIT.txt,6,3,0,f,d,26,30,0x5bd46,0x41,6,0 1 2 d 26 27
MPINIT.txt,6,4,0,e,a,20,28,0x5bd46,0x41,6,0 1 2 3 d e
MPINIT.txt,8,1,0,10,9,18,32,0x5bd46,0x41,6,0 1 2 d 23 24
MPINIT.txt,8,2,0,a,14,40,20,0x5bd46,0x41,9,0 1 2 4 d 12 19 23 24
MPINIT.txt,8,3,0,15,15,42,42,0x5bd46,0x41,10,0 1 2 3 c d e 10 11 19
MPINIT.txt,9,1,0,d,12,36,26,0x5bd46,0x41,6,0 1 2 d 10 11
MPINIT.txt,9,2,0,9,18,48,18,0x5bd46,0x41,8,0 1 2 3 5 a d e
MPINIT.txt,a,1,0,14,12,36,40,0x5bd46,0x41,7,0 1 2 3 d e 13
MPINIT.txt,b,1,0,b,b,22,22,0x5bd46,0x41,6,0 1 2 3 d e
MPINIT.txt,b,2,0,f,e,28,30,0x5bd46,0x41,5,0 1 2 a d
MPINIT.txt,b,3,0,5,12,36,10,0x5bd46,0x41,7,0 1 2 3 a d e
MPINIT.txt,b,4,0,b,d,26,22,0x5bd46,0x41,7,0 1 2 4 8 d 22
MPINIT.txt,c,1,0,1c,c,24,56,0x5bd46,0x41,7,0 1 2 4 d 23 24
MPINIT.txt,d,1,0,f,11,34,30,0x5bd46,0x41,5,0 1 2 d 24
MPINIT.txt,d,2,0,c,e,28,24,0x5bd46,0x41,4,0 1 2 8
MPINIT.txt,e,1,0,13,13,38,38,0x5bd46,0x41,7,0 1 2 3 d e 26
MPINIT.txt,f,1,0,13,9,18,38,0x5bd46,0x41,8,0 1 2 4 c d f 26
MPINIT.txt,f,2,0,f,e,28,30,0x5bd46,0x41,7,0 1 2 3 d e 1b
MPINIT.txt,f,3,0,f,f,30,30,0x5bd46,0x41,6,0 1 2 3 d e
MPINIT.txt,f,4,0,a,a,20,20,0x5bd46,0x41,4,0 1 2 d
MPINIT.txt,f,5,0,f,b,22,30,0x5bd46,0x41,7,0 1 2 3 b d e
MPINIT.txt,f,6,0,11,10,32,34,0x5bd46,0x41,6,0 1 2 d 1b 26
MPINIT.txt,10,1,0,c,14,40,24,0x5bd46,0x41,7,0 1 2 3 a d e
MPINIT.txt,10,2,0,c,13,38,24,0x5bd46,0x41,8,0 1 2 3 a c d e
MPINIT.txt,13,1,0,d,a,20,26,0x5bd46,0x41,4,0 1 2 d
MPINIT.txt,13,2,0,b,19,50,22,0x5bd46,0x41,7,0 1 2 c d f 1e
MPINIT.txt,13,3,0,13,12,36,38,0x5bd46,0x41,7,0 1 2 3 a d e
MPINIT.txt,13,4,0,f,e,28,30,0x5bd46,0x41,5,0 1 2 a d
MPINIT.txt,14,1,0,12,12,36,36,0x5bd46,0x41,4,0 1 2 d
MPINIT.txt,14,2,0,14,13,38,40,0x5bd46,0x41,6,0 1 2 a b d
MPINIT.txt,14,3,0,18,11,34,48,0x5bd46,0x41,4,0 1 2 4
MPINIT.txt,14,4,0,15,15,42,42,0x5bd46,0x41,7,0 1 2 3 a d e
MPINIT.txt,15,1,0,d,f,30,26,0x5bd46,0x41,5,0 1 2 5 d
MPINIT.txt,15,2,0,d,f,30,26,0x5bd46,0x41,4,0 1 2 d
MPINIT.txt,15,3,0,11,18,48,34,0x5bd46,0x41,5,0 1 2 4 d
MPINIT.txt,16,1,0,f,d,26,30,0x5bd46,0x41,4,0 1 2 d
MPINIT.txt,16,2,0,10,c,24,32,0x5bd46,0x41,4,0 1 2 d
MPINIT.txt,16,3,0,b,b,22,22,0x5bd46,0x41,3,0 1 2
MPINIT.txt,18,1,0,15,c,24,42,0x5bd46,0x41,10,0 1 2 3 4 6 d e f 23
MPINIT.txt,18,2,0,10,c,24,32,0x5bd46,0x41,7,0 1 2 8 d 23 24
MPINIT.txt,19,1,0,14,15,42,40,0x5bd46,0x41,4,0 1 2 4
MPINIT.txt,19,2,0,14,b,22,40,0x5bd46,0x41,9,0 1 2 3 8 d e 22 23
MPINIT.txt,19,3,0,f,16,44,30,0x5bd46,0x41,9,0 1 2 3 4 8 d e 22
MPINIT.txt,19,4,0,d,14,40,26,0x5bd46,0x41,7,0 1 2 4 d 10 11
MPINIT.txt,19,5,0,17,19,50,46,0x5bd46,0x41,8,0 1 2 3 4 a d e
MPINIT.txt,1a,1,0,f,10,32,30,0x5bd46,0x41,3,0 1 2
MPINIT.txt,1b,1,0,11,11,34,34,0x5bd46,0x41,5,0 1 2 4 d
MPINIT.txt,1c,1,0,d,d,26,26,0x5bd46,0x41,4,0 1 2 d
MPINIT.txt,1c,2,0,10,12,36,32,0x5bd46,0x41,5,0 1 2 4 8
MPINIT.txt,50,1,0,7,8,16,14,0x5bd46,0x41,7,0 1 2 3 a d e
MPINIT.txt,56,1,0,9,9,18,18,0x5bd46,0x41,3,0 1 2
MPINIT.txt,56,2,0,9,9,18,18,0x5bd46,0x41,3,0 1 2
MPINIT.txt,56,3,0,9,9,18,18,0x5bd46,0x41,3,0 1 2
MPINIT.txt,56,3,1,14,6,12,40,0x5bd46,0x41,6,0 1 2 3 d e
MPINIT.txt,56,3,2,e,7,14,28,0x5bd46,0x41,4,0 1 2 d
MPINIT.txt,56,3,3,d,d,26,26,0x5bd46,0x41,3,0 1 2
MPINIT.txt,56,3,4,11,d,26,34,0x5bd46,0x41,3,0 1 2
MPINIT.txt,56,3,5,9,9,18,18,0x5bd46,0x41,5,0 1 2 4 a
MPINIT.txt,56,3,6,7,9,18,14,0x5bd46,0x41,3,0 2 12
MPINIT.txt,56,3,7,d,d,26,26,0x5bd46,0x41,3,0 1 2
MPINIT.txt,56,3,8,11,13,38,34,0x5bd46,0x41,5,0 1 2 8 23
MPINIT.txt,56,3,9,f,f,30,30,0x5bd46,0x41,5,0 1 2 4 26
MPINIT.txt,56,3,10,c,13,38,24,0x5bd46,0x41,6,0 1 2 a c d
MPINIT.txt,56,3,11,9,e,28,18,0x5bd46,0x41,3,0 1 2
MPINIT.txt,56,3,12,f,b,22,30,0x5bd46,0x41,3,0 1 2
MPINIT.txt,56,3,13,9,d,26,18,0x5bd46,0x41,3,0 1 2
MPINIT.txt,56,3,14,e,19,50,28,0x5bd46,0x41,4,0 1 2 4
MPINIT.txt,56,3,15,e,7,14,28,0x5bd46,0x41,4,0 1 2 4
MPINIT.txt,56,3,16,17,1d,58,46,0x5bd46,0x41,7,0 1 2 4 1d 20 26
