单位id,单位名,种族值,种族,性别值,性别,属性值,属性,星级,单位名地址
ad,漆縁呪封師ガイダル 漆缘咒封师盖达鲁,f,特殊,1,男,7,暗黑,4,17b63
ae,悪しき呪術師 邪恶的咒术师,1,人族,1,男,7,暗黑,1,17b64
af,地の大魔術師 地之大魔术师,1,人族,1,男,2,地脉,2,17b65
b0,水の大魔術師 水之大魔术师,1,人族,1,男,3,冷却,2,17b66
b1,火の大魔術師 火之大魔术师,1,人族,1,男,4,火炎,2,17b67
b2,風の大魔術師 风之大魔术师,1,人族,1,男,5,电击,2,17b68
b3,悪しき精霊師 邪恶的精灵师,1,人族,1,男,7,暗黑,3,17b69
b4,目つきの悪い男 眼神凶恶的男人,1,人族,1,男,1,物理,2,17b6a
b5,嫌らしい顔の男 面目可憎的男人,1,人族,1,男,1,物理,1,17b6b
b6,狂える男 发狂的男人,1,人族,1,男,1,物理,1,17b6c
b7,魔導銃を持つ男 持魔导枪的男人,1,人族,1,男,1,物理,2,17b6d
b9,商会の用心棒 商会的保镖,1,人族,1,男,1,物理,1,17b6f
be,狙撃弓兵 狙击弓兵,1,人族,2,女,1,物理,1,17b74
bf,神殿弓兵,2,亜人,2,女,5,电击,3,17b75
c0,堕心の腐弓兵 堕心之腐弓兵,c,不死,2,女,7,暗黑,2,17b76
c1,獅峰狙撃兵 狮峰狙击兵,1,人族,2,女,1,物理,2,17b77
c8,司教クードヴァンス 司教库德万斯,2,亜人,1,男,5,电击,4,17b7e
ca,フィユシア神殿兵 菲优希亚神殿兵,2,亜人,1,男,6,神圣,3,17b80
cb,係留係の神殿兵 系留员神殿兵,2,亜人,1,男,,,,17b81
cd,外套を纏った暗殺者 身披外套的暗杀者,2,亜人,2,女,5,电击,1,17b83
ce,つけ狙う暗殺者 尾随暗杀者,2,亜人,2,女,5,电击,1,17b84
d3,砂鉄の悪漢者 砂铁恶汉,2,亜人,1,男,2,地脉,2,17b89
d4,獣人工作兵 兽人工兵,2,亜人,1,男,2,地脉,3,17b8a
dc,ハルピュア 哈尔皮亚,2,亜人,2,女,5,电击,2,17b92
dd,ルトハルピュア 鲁托哈尔皮亚,2,亜人,2,女,5,电击,3,17b93
de,グロウハルピュア 格洛哈尔皮亚,2,亜人,2,女,5,电击,4,17b94
fa,迷い入った小鬼 迷路闯入的小鬼,4,鬼,1,男,1,物理,1,17bb0
fb,小鬼族,4,鬼,1,男,1,物理,1,17bb1
fc,グバルッカリーダー 古巴鲁卡首领,4,鬼,1,男,1,物理,1,17bb2
fd,堕心の群れ 堕心之群,4,鬼,1,男,1,物理,2,17bb3
fe,彷徨う小鬼主 彷徨的小鬼首领,4,鬼,1,男,1,物理,1,17bb4
104,エーグ族 埃古族,4,鬼,1,男,1,物理,1,17bba
105,エーグ狩猟種 埃古狩猎种,4,鬼,1,男,1,物理,3,17bbb
106,エーグ呪霊種 埃古咒灵种,4,鬼,1,男,1,物理,4,17bbc
109,天枯の飢狼王 天枯的饥狼王,5,巨人,1,男,1,物理,2,17bbf
10a,トロエルグ 特罗埃尔格,5,巨人,1,男,1,物理,1,17bc0
10b,破裂飢狼 破裂饥狼,5,巨人,1,男,1,物理,3,17bc1
10c,歪魔デブラフスカ 歪魔德布拉夫斯卡,8,悪魔,1,男,7,暗黑,4,17bc2
122,緑プテテット 绿史莱姆,3,一般,3,无性别,1,物理,1,17bd8
123,赤プテテット 红史莱姆,3,一般,3,无性别,1,物理,1,17bd9
124,黒プテテット 黑史莱姆,3,一般,3,无性别,1,物理,1,17bda
12c,錆油化した鉄精 锈油化的铁精,6,精霊,3,无性别,2,地脉,2,17be2
12d,土精ウォルベヅネ 土精沃尔贝兹内,6,精霊,3,无性别,2,地脉,1,17be3
12e,磁鉄の粘精 磁铁之粘精,6,精霊,3,无性别,2,地脉,1,17be4
12f,磁鉄の粘溶岩精 磁铁之粘熔岩精,6,精霊,3,无性别,4,火炎,2,17be5
130,闇穿華兵 暗穿华兵,d,創造,3,无性别,1,物理,3,17be6
131,狂った水精 疯狂的水精,6,精霊,2,女,3,冷却,1,17be7
132,水精ティエネー 水精提埃内,6,精霊,2,女,3,冷却,1,17be8
133,水精ウンディーネ 水精温蒂妮,6,精霊,2,女,3,冷却,2,17be9
134,狂ったウンディーネ 疯狂的温蒂妮,6,精霊,2,女,3,冷却,3,17bea
136,荒ぶる氷乙女 狂暴的冰少女,6,精霊,2,女,3,冷却,3,17bec
137,輪極の凍河乙女 轮极之冻河少女,6,精霊,2,女,3,冷却,4,17bed
138,錯縛の水精 错缚的水精,6,精霊,2,女,3,冷却,1,17bee
145,風精シルフィ 风精希尔菲,6,精霊,2,女,5,电击,1,17bfb
146,風精ジルニー 风精吉尔尼,6,精霊,2,女,5,电击,2,17bfc
148,狂ったジルニー 疯狂的吉尔尼,6,精霊,2,女,5,电击,4,17bfe
14a,雷精獣ジルラム 雷精兽吉尔拉姆,6,精霊,3,无性别,5,电击,1,17c00
14b,火蜥蜴ゴーファラム 火蜥蜴戈法拉姆,6,精霊,3,无性别,4,火炎,2,17c01
151,フェルルースピリト 费尔鲁斯皮里托,6,精霊,2,女,5,电击,3,17c07
154,木精ユイチリ 木精由伊奇利,6,精霊,2,女,2,地脉,2,17c0a
155,木精ネミルユイチリ 木精内米尔由伊奇利,6,精霊,2,女,2,地脉,3,17c0b
156,木精ニルユイチリ 木精尼尔由伊奇利,6,精霊,2,女,2,地脉,4,17c0c
157,魔シキ一族ノ害妃 魔式一族的祸妃,6,精霊,2,女,2,地脉,3,17c0d
159,木精ドリュアス 木精德律阿斯,6,精霊,3,无性别,5,电击,1,17c0f
15a,ジウ＝ドリュアス 吉乌-德律阿斯,6,精霊,3,无性别,5,电击,2,17c10
15b,ラヴェニゥス 拉维纽斯,6,精霊,3,无性别,5,电击,4,17c11
15c,輪極の蝕樹 轮极之蚀树,8,悪魔,3,无性别,5,电击,4,17c12
15e,ミストメリラクーナ 米斯特梅利拉库娜,f,特殊,1,男,6,神圣,5,17c14
167,錯縛の流燐結騎 错缚的流燐结骑,6,精霊,1,男,3,冷却,3,17c1d
168,流燐結騎 流燐结骑,6,精霊,1,男,3,冷却,3,17c1e
169,溶燐結騎 溶燐结骑,6,精霊,1,男,4,火炎,3,17c1f
16a,嵐燐結騎 岚燐结骑,6,精霊,2,女,5,电击,3,17c20
16b,華燐結騎 华燐结骑,6,精霊,1,男,2,地脉,3,17c21
16c,堕ちた蒼の結騎 堕落的苍之结骑,c,不死,1,男,3,冷却,4,17c22
16d,堕ちた炎の結騎 堕落的炎之结骑,c,不死,1,男,4,火炎,4,17c23
16e,堕ちた旋の結騎 堕落的旋之结骑,c,不死,2,女,5,电击,4,17c24
16f,堕ちた脈の結騎 堕落的脉之结骑,c,不死,1,男,2,地脉,4,17c25
170,フィア＝イブラム 菲亚-伊布拉姆,c,不死,2,女,7,暗黑,5,17c26
171,ルーン＝ラクスミウ 卢恩-拉克丝米乌,f,特殊,2,女,6,神圣,5,17c27
190,征炎ミクシュアナ 征炎米克修亚娜,7,天使,2,女,6,神圣,3,17c46
193,鎚使霊 锤使灵,7,天使,3,无性别,6,神圣,1,17c49
194,楯使霊 盾使灵,7,天使,3,无性别,6,神圣,2,17c4a
195,癒使霊 愈使灵,7,天使,2,女,6,神圣,2,17c4b
198,大天使ゴスハザ 大天使戈斯哈扎,7,天使,1,男,6,神圣,3,17c4e
19a,天使カルフエラ 天使卡尔夫埃拉,7,天使,2,女,6,神圣,3,17c50
19b,権天使シュトラエル 权天使修特拉埃尔,7,天使,2,女,6,神圣,3,17c51
19c,使縛の封錬機 使缚之封炼机,7,天使,2,女,6,神圣,4,17c52
19d,征炎衆後方守備隊 征炎众后方守备队,7,天使,2,女,6,神圣,3,17c53
1c2,歪魔ボゥンオロス 歪魔邦奥罗斯,8,悪魔,3,无性别,4,火炎,5,17c78
1c3,歪魔ボゥンジギ 歪魔邦吉吉,8,悪魔,3,无性别,5,电击,5,17c79
1c5,霊魔ヴォヴィア 灵魔沃维亚,8,悪魔,3,无性别,7,暗黑,5,17c7b
1c7,輪極の魔掌 轮极之魔掌,8,悪魔,3,无性别,7,暗黑,5,17c7d
1d6,上級悪魔カノン 上级恶魔卡农,8,悪魔,1,男,7,暗黑,3,17c8c
1d7,グレーターデーモン 大恶魔,8,悪魔,1,男,7,暗黑,3,17c8d
1d8,上級悪魔ゴゴナウア 上级恶魔戈戈纳乌阿,8,悪魔,1,男,7,暗黑,4,17c8e
1db,ヴァーチェスラフ 瓦切斯拉夫,8,悪魔,1,男,7,暗黑,5,17c91
1e0,魔神バンブビルグ 魔神班布比尔格,e,魔神,3,无性别,1,物理,5,17c96
1e1,魔神バンブクスクス 魔神班布库斯库斯,e,魔神,3,无性别,1,物理,5,17c97
1ea,魔神べリアル 魔神贝莉阿尔,e,魔神,2,女,4,火炎,5,17ca0
1eb,魔神フォルネウス 魔神弗尔奈沃斯,e,魔神,2,女,3,冷却,5,17ca1
1ec,魔神マルファス 魔神马尔法斯,e,魔神,1,男,5,电击,5,17ca2
1ee,魔神ブネ 魔神布涅,e,魔神,1,男,1,物理,5,17ca4
1ef,魔神ボティス中枢 魔神波蒂斯中枢,e,魔神,3,无性别,7,暗黑,5,17ca5
1f0,鼓炎嘯の鮫蝋 鼓炎啸之鲛蜡,8,悪魔,3,无性别,3,冷却,5,17ca6
1f1,鼓炎嘯の鴉蝋 鼓炎啸之鸦蜡,8,悪魔,3,无性别,5,电击,5,17ca7
1f2,鼓炎嘯の龍蝋 鼓炎啸之龙蜡,8,悪魔,3,无性别,1,物理,5,17ca8
1f3,魔神マルファス 魔神马尔法斯,e,魔神,1,男,5,电击,5,17ca9
1f4,イル＝レブルドル 伊尔-雷布尔多尔,9,魔獣,1,男,4,火炎,3,17caa
216,砂塵ノセイフクシャ 砂尘之征服者,9,魔獣,3,无性别,2,地脉,4,17ccc
217,活力を奪う葉魔獣 夺走活力的叶魔兽,9,魔獣,3,无性别,2,地脉,1,17ccd
218,葉魔獣リリジー 叶魔兽莉莉吉,9,魔獣,3,无性别,2,地脉,1,17cce
219,葉魔獣ミコメス 叶魔兽米科梅斯,9,魔獣,3,无性别,2,地脉,2,17ccf
21c,水棲獣ケウラ 水栖兽凯乌拉,9,魔獣,3,无性别,3,冷却,1,17cd2
21d,水棲獣スキュラ 水栖兽斯库拉,9,魔獣,2,女,3,冷却,3,17cd3
21e,水棲獣ピュネス 水栖兽皮内斯,9,魔獣,2,女,3,冷却,4,17cd4
21f,隧道の女王 隧道女王,9,魔獣,2,女,3,冷却,2,17cd5
221,魔獣デルピュネ 魔兽德尔皮内,9,魔獣,2,女,4,火炎,3,17cd7
222,魔獣ギガデルピュネ 魔兽吉加德尔皮内,9,魔獣,2,女,4,火炎,4,17cd8
223,魔獣ギガデルピュネ 魔兽吉加德尔皮内,9,魔獣,2,女,4,火炎,4,17cd9
226,角蜥蜴ロドン 角蜥蜴罗顿,a,幻獣,3,无性别,4,火炎,1,17cdc
227,角蜥蜴リザミロドン 角蜥蜴利扎米罗顿,a,幻獣,3,无性别,4,火炎,2,17cdd
228,角蜥蜴ワミロドン 角蜥蜴瓦米罗顿,a,幻獣,3,无性别,4,火炎,3,17cde
229,鏡柱殿のカトリト 镜柱殿的卡特利特,a,幻獣,2,女,5,电击,2,17cdf
22a,鏡柱殿のカトリト 镜柱殿的卡特利特,a,幻獣,2,女,5,电击,2,17ce0
22b,這竜リムドラ 爬龙利姆德拉,a,幻獣,3,无性别,2,地脉,2,17ce1
22c,這竜リムドラギル 爬龙利姆德拉吉尔,a,幻獣,3,无性别,2,地脉,3,17ce2
22d,輪極の歪竜 轮极之歪龙,a,幻獣,3,无性别,7,暗黑,5,17ce3
22e,地蟲竜アルカトホグ 地虫龙阿尔卡托霍格,a,幻獣,3,无性别,2,地脉,2,17ce4
22f,地蟲竜アルカトホグ 地虫龙阿尔卡托霍格,a,幻獣,3,无性别,2,地脉,2,17ce5
230,幻獣ダルクヒドラ 幻兽达尔库希德拉,a,幻獣,3,无性别,4,火炎,2,17ce6
231,霞廊の雷蛇 霞廊的雷蛇,a,幻獣,3,无性别,5,电击,4,17ce7
232,幻獣ミルヒドラ 幻兽米尔希德拉,a,幻獣,3,无性别,3,冷却,2,17ce8
233,輪極の黒蛭蛇 轮极之黑蛭蛇,a,幻獣,3,无性别,2,地脉,5,17ce9
234,雷府竜シウケトル 雷府龙希乌凯托尔,a,幻獣,1,男,5,电击,4,17cea
235,絶氷公カルメルグ 绝冰公卡尔梅尔格,a,幻獣,1,男,3,冷却,4,17ceb
236,成竜型カトリト 成龙型卡特利特,a,幻獣,2,女,5,电击,4,17cec
237,歪魔グントーノ 歪魔贡托诺,8,悪魔,1,男,3,冷却,5,17ced
238,ドラゴニュート 德拉贡纽特,a,幻獣,1,男,4,火炎,3,17cee
23a,府幻の竜人兵 府幻的龙人兵,a,幻獣,1,男,1,物理,3,17cf0
23c,ストームドラゴン 风暴龙,a,幻獣,3,无性别,5,电击,3,17cf2
23d,竜閣の蒼兵 龙阁的苍兵,a,幻獣,3,无性别,3,冷却,3,17cf3
23f,牙コウモリ 牙蝙蝠,3,一般,3,无性别,5,电击,1,17cf5
240,紅魔コウモリ 红魔蝙蝠,3,一般,3,无性别,5,电击,1,17cf6
241,毒噴飛鼠 毒喷飞鼠,3,一般,3,无性别,5,电击,3,17cf7
244,雷蝶,3,一般,3,无性别,5,电击,1,17cfa
245,歪蝶,3,一般,3,无性别,7,暗黑,4,17cfb
249,妖ベコガノ 妖贝科加诺,3,一般,3,无性别,4,火炎,1,17cff
24a,黒ベコガノ 黑贝科加诺,3,一般,3,无性别,2,地脉,2,17d00
24b,水雪ベコガノ 水雪贝科加诺,3,一般,3,无性别,3,冷却,4,17d01
24e,バギル 巴吉尔,3,一般,3,无性别,3,冷却,1,17d04
24f,サーバギル 赛尔巴吉尔,3,一般,3,无性别,3,冷却,2,17d05
250,彷徨える歪魚 彷徨的歪鱼,3,一般,3,无性别,3,冷却,4,17d06
253,貝獣スラス 贝兽苏拉斯,3,一般,3,无性别,3,冷却,1,17d09
254,貝獣アンキロセラス 贝兽安基洛塞拉斯,3,一般,3,无性别,3,冷却,2,17d0a
255,誘惑貝獣 诱惑贝兽,3,一般,2,女,3,冷却,1,17d0b
256,輪極の蝕貝獣 轮极之蚀贝兽,3,一般,2,女,3,冷却,5,17d0c
258,スケルトン 骷髅,c,不死,3,无性别,7,暗黑,1,17d0e
259,胞子骸骨 孢子骸骨,c,不死,3,无性别,7,暗黑,2,17d0f
25a,狩猟骸骨 狩猎骸骨,c,不死,3,无性别,7,暗黑,3,17d10
25b,連鎖の骸骨 连锁的骸骨,c,不死,3,无性别,7,暗黑,4,17d11
28a,霊虚二舞イ人ノ傀 灵虚双舞之人傀,b,霊体,1,男,7,暗黑,2,17d40
28c,愛ヲ模リ咲ヒメル傀 仿爱绽放之人傀,b,霊体,2,女,7,暗黑,2,17d42
28e,シショウノロウキ 死沼的摺姬,c,不死,2,女,7,暗黑,3,17d44
28f,吸魂霊 吸魂灵,b,霊体,3,无性别,7,暗黑,1,17d45
290,死魂霊 死魂灵,b,霊体,3,无性别,7,暗黑,2,17d46
294,憑魅霊 凭魅灵,b,霊体,2,女,7,暗黑,2,17d4a
295,魔壁霊 魔壁灵,b,霊体,2,女,7,暗黑,2,17d4b
296,籠魅魔霊 笼魅魔灵,b,霊体,2,女,7,暗黑,4,17d4c
297,魔霊メアキオト 魔灵梅亚基奥托,b,霊体,2,女,7,暗黑,4,17d4d
2bc,結晶化した動力部 结晶化的动力部,d,創造,3,无性别,1,物理,3,17d72
2bd,熱暴走した古兵器 热暴走的古兵器,d,創造,3,无性别,4,火炎,3,17d73
2be,旋風岩 旋风岩,d,創造,3,无性别,5,电击,1,17d74
2bf,転がる大岩 滚动的大岩,d,創造,3,无性别,1,物理,2,17d75
2c0,瓦礫 瓦砾,d,創造,3,无性别,1,物理,1,17d76
2c2,動く家具 会动的家具,b,霊体,3,无性别,1,物理,3,17d78
2c3,熱間欠泉 热间歇泉,d,創造,3,无性别,4,火炎,1,17d79
2c6,ガーゴイル 石像鬼,d,創造,3,无性别,1,物理,1,17d7c
2c7,自壊した石造兵 自毁的石造兵,d,創造,3,无性别,1,物理,2,17d7d
2c8,剛像ヴァルガルム 刚像瓦尔加尔姆,d,創造,3,无性别,1,物理,3,17d7e
2cb,ストーンゴーレム 石魔像,d,創造,3,无性别,1,物理,2,17d81
2cc,磁鉄石の巨人 磁铁石的巨人,d,創造,3,无性别,1,物理,1,17d82
2cd,封錬の石巨人 封炼的石巨人,d,創造,3,无性别,1,物理,4,17d83
2d0,動く彫像 会动的雕像,d,創造,3,无性别,2,地脉,2,17d86
2d1,掘削の彫像 掘削的雕像,d,創造,3,无性别,2,地脉,3,17d87
2d2,火炎彫像 火焰雕像,d,創造,3,无性别,4,火炎,4,17d88
2d3,トレトメイデン 特雷特少女,d,創造,3,无性别,2,地脉,2,17d89
2d5,捕食箱,d,創造,3,无性别,1,物理,1,17d8b
2d6,凶悪な捕食箱 凶恶的捕食箱,d,創造,3,无性别,1,物理,2,17d8c
2d7,誘う捕食箱 引诱的捕食箱,d,創造,2,女,1,物理,3,17d8d
2d8,希少な捕食箱 稀有的捕食箱,d,創造,2,女,1,物理,4,17d8e
2da,火像グアスモール 火像古阿斯莫尔,d,創造,3,无性别,4,火炎,2,17d90
2dc,センタルア・メデン 森塔尔亚·梅登,d,創造,3,无性别,1,物理,2,17d92
2dd,センタルア・イブ 森塔尔亚·伊布,d,創造,3,无性别,1,物理,3,17d93
2de,修鉄機アザム 修铁机阿扎姆,d,創造,3,无性别,1,物理,3,17d94
2df,封錬機ルナータ 封炼机卢娜塔,d,創造,3,无性别,1,物理,4,17d95
2e1,封錬機フォトノル 封炼机佛托诺尔,d,創造,3,无性别,5,电击,4,17d97
2e2,封錬機フォラタ 封炼机佛拉塔,d,創造,3,无性别,7,暗黑,4,17d98
2e4,先史遺物改修機 先史遗物改修机,d,創造,3,无性别,1,物理,4,17d9a
2e5,ソルガッシュ封錬改 索尔加修封炼改,d,創造,3,无性别,1,物理,4,17d9b
2e9,封錬機グアミウロス 封炼机古阿米乌罗斯,d,創造,3,无性别,2,地脉,4,17d9f
2eb,錬機工プラナミルス 炼机工普拉纳米尔斯,d,創造,3,无性别,1,物理,4,17da1
2ee,封錬鋼監 封炼钢监,d,創造,3,无性别,1,物理,4,17da4
2ef,盗獅子覚醒の凄い奴 盗狮子觉醒的厉害家伙,d,創造,3,无性别,1,物理,4,17da5
2f9,異質緑粘体 异质绿粘体,3,一般,3,无性别,1,物理,5,17daf
2fa,神速赤粘体,3,一般,3,无性别,1,物理,5,17db0
2fb,鉄壁黒粘体 铁壁黑粘体,3,一般,3,无性别,1,物理,5,17db1
2fc,進化粘体 进化粘体,3,一般,3,无性别,1,物理,5,17db2
2fd,封印極炎魔獣 封印极炎魔兽,9,魔獣,2,女,4,火炎,5,17db3
2fe,死神大魔術師 死神大魔术师,c,不死,2,女,7,暗黑,5,17db4
2ff,暴息嵐竜 暴息岚龙,a,幻獣,3,无性别,5,电击,5,17db5
300,悩殺憑魅霊 恼杀凭魅灵,b,霊体,2,女,7,暗黑,5,17db6
301,鏡面捕食箱 镜面捕食箱,d,創造,3,无性别,6,神圣,5,17db7
302,食後捕食箱 食后捕食箱,d,創造,3,无性别,3,冷却,5,17db8
303,部屋着捕食箱 居家服捕食箱,d,創造,2,女,7,暗黑,5,17db9
304,街着捕食箱 外出服捕食箱,d,創造,2,女,1,物理,5,17dba
305,魅惑羽娘,2,亜人,2,女,3,冷却,5,17dbb
306,超電磁雷獣 超电磁雷兽,6,精霊,3,无性别,5,电击,5,17dbc
307,逆境雷蛇,a,幻獣,3,无性别,5,电击,5,17dbd
308,狙撃光蝶 狙击光蝶,3,一般,3,无性别,6,神圣,5,17dbe
309,殺人修鉄機 杀人修铁机,d,創造,3,无性别,1,物理,5,17dbf
321,機械防扉 机械防门,d,創造,3,无性别,1,物理,1,17dd7
322,ギグルン防扉 吉格伦防门,d,創造,3,无性别,1,物理,2,17dd8
323,ミスリル防扉 秘银防门,d,創造,3,无性别,1,物理,3,17dd9
324,アルブネア防扉 阿尔布内亚防门,d,創造,3,无性别,1,物理,4,17dda
325,パール防扉 珠钢防门,d,創造,3,无性别,1,物理,5,17ddb
326,聖柵 圣栅,d,創造,3,无性别,1,物理,1,17ddc
32a,魔法砦,d,創造,3,无性别,1,物理,1,17de0
32b,石弾発射砦 石弹发射砦,d,創造,3,无性别,2,地脉,1,17de1
32c,火柱発射砦 火柱发射砦,d,創造,3,无性别,4,火炎,2,17de2
32d,水流発射砦 水流发射砦,d,創造,3,无性别,3,冷却,3,17de3
32e,落雷発射砦 落雷发射砦,d,創造,3,无性别,5,电击,4,17de4
32f,小隕石発射砦 小陨石发射砦,d,創造,3,无性别,1,物理,5,17de5
335,鉄球罠装置 铁球陷阱装置,d,創造,3,无性别,1,物理,1,17deb
336,機軸弩罠装置 机轴弩陷阱装置,d,創造,3,无性别,1,物理,2,17dec
33f,強制転送装置 强制转移装置,d,創造,3,无性别,1,物理,5,17df5
340,癒しの魔法装置 治愈魔法装置,d,創造,3,无性别,1,物理,1,17df6
341,鉄壁の魔法装置 铁壁魔法装置,d,創造,3,无性别,1,物理,2,17df7
342,進撃の魔法装置 进击魔法装置,d,創造,3,无性别,1,物理,3,17df8
343,敏捷の魔法装置 敏捷魔法装置,d,創造,3,无性别,1,物理,4,17df9
344,英雄の魔法装置 英雄魔法装置,d,創造,3,无性别,1,物理,5,17dfa
353,魔法砦,d,創造,3,无性别,1,物理,1,17e09
384,ヘタテット 赫塔泰特,3,一般,3,无性别,1,物理,1,17e3a
385,ヘタボウ 赫塔宝,1,人族,1,男,1,物理,1,17e3b
386,ヘタレン 赫塔连,6,精霊,2,女,3,冷却,1,17e3c
389,キングプテテット 史莱姆王,3,一般,3,无性别,1,物理,4,17e3f
38e,歪みの精霊王女 扭曲的精灵王女,e,魔神,2,女,1,物理,4,17e44
38f,歪侍女,6,精霊,2,女,1,物理,3,17e45
393,シェルグリティウス 谢尔格利提乌斯,e,魔神,1,男,7,暗黑,4,17e49
399,魅惑のキスニル 魅惑的姬斯尼尔,1,人族,2,女,4,火炎,4,17e4f
39a,魅惑のミクシュアナ 魅惑的米克修亚娜,7,天使,2,女,6,神圣,4,17e50
39b,魅惑のイオル 魅惑的伊欧露,2,亜人,2,女,5,电击,4,17e51
39c,魅惑のロズリーヌ 魅惑的罗兹利奴,1,人族,2,女,7,暗黑,4,17e52
39d,魅惑の天使 魅惑的天使,7,天使,2,女,6,神圣,1,17e53
39e,魅惑の部族兵 魅惑的部族兵,1,人族,2,女,5,电击,1,17e54
39f,魅惑の部族弓兵 魅惑的部族弓兵,1,人族,2,女,5,电击,1,17e55
3a0,魅惑の霊体 魅惑的灵体,b,霊体,2,女,7,暗黑,1,17e56
3a1,魔法使いユエラ 魔术师由艾拉,1,人族,2,女,1,物理,4,17e57
3a2,借物のゴーレム 借来的魔像,d,創造,3,无性别,1,物理,1,17e58
3a3,借物のソルガッシュ 借来的索尔加修,d,創造,3,无性别,1,物理,2,17e59
3a4,不思議な小鬼 不可思议的小鬼,4,鬼,1,男,1,物理,3,17e5a
