地图号,地图名,点序号,列,行,类型,跟随1,跟随2,跟随3
146,へタレスの迷宮６Ｆ 赫塔雷斯迷宫６Ｆ,35,1,7,1f(采集点),3b,9,
155,異界断層 异界断层,0,2,1,6,12,,
155,異界断層 异界断层,1,7,2,6,f,f,
155,異界断層 异界断层,2,6,4,6,2,9,
155,異界断層 异界断层,3,a,2,6,9,8,
155,異界断層 异界断层,4,2,5,6,4,11,
155,異界断層 异界断层,5,2,9,6,6,4,
155,異界断層 异界断层,6,5,8,6,14,14,
155,異界断層 异界断层,7,9,8,6,a,2,
155,異界断層 异界断层,8,7,a,6,15,d,
155,異界断層 异界断层,9,e,4,6,14,f,
155,異界断層 异界断层,10,c,6,6,2,11,
155,異界断層 异界断层,11,e,8,6,b,f,
155,異界断層 异界断层,12,2,d,6,3,11,
155,異界断層 异界断层,13,6,d,6,f,15,
155,異界断層 异界断层,14,b,b,6,13,d,
155,異界断層 异界断层,15,f,12,6,1,11,
155,異界断層 异界断层,16,b,f,6,e,8,
155,異界断層 异界断层,17,f,f,6,7,2,
155,異界断層 异界断层,18,13,d,6,b,b,
155,異界断層 异界断层,19,15,d,6,7,a,
155,異界断層 异界断层,20,a,12,6,2,1,
155,異界断層 异界断层,21,b,13,6,5,11,
155,異界断層 异界断层,22,f,15,6,6,d,
155,異界断層 异界断层,23,14,f,6,e,4,
155,異界断層 异界断层,24,14,14,6,5,8,
155,異界断層 异界断层,25,1,11,6,f,12,
155,異界断層 异界断层,26,2,11,6,c,6,
155,異界断層 异界断层,27,3,11,6,2,d,
155,異界断層 异界断层,28,4,11,6,2,5,
155,異界断層 异界断层,29,5,11,6,b,13,
155,異界断層 异界断层,30,14,b,2(出击门),,,
155,異界断層 异界断层,31,10,6,2(出击门),,,
155,異界断層 异界断层,32,8,6,1f(采集点),3d,6,
155,異界断層 异界断层,33,12,2,1f(采集点),3d,5,
155,異界断層 异界断层,34,f,b,1f(采集点),3d,5,
155,異界断層 异界断层,35,b,1,20(挖掘点),3d,7,
155,異界断層 异界断层,36,2,3,20(挖掘点),3d,8,
155,異界断層 异界断层,37,16,b,1c,1e,,
155,異界断層 异界断层,38,4,d,1c,1e,,
155,異界断層 异界断层,39,2,7,1c,1e,,
155,異界断層 异界断层,40,14,1,7,995,1,
155,異界断層 异界断层,41,9,3,7,b01,1,
155,異界断層 异界断层,42,12,9,8(宝物堆),119,3,
155,異界断層 异界断层,43,12,a,8(宝物堆),d4,3,
155,異界断層 异界断层,44,f,8,8(宝物堆),11a,2,
156,異界断層の玉座 异界断层之玉座,0,b,7,2(出击门),,,
156,異界断層の玉座 异界断层之玉座,1,12,3,5(刷怪旋涡),4,a,
156,異界断層の玉座 异界断层之玉座,2,14,3,5(刷怪旋涡),4,a,
156,異界断層の玉座 异界断层之玉座,3,14,5,5(刷怪旋涡),4,a,
156,異界断層の玉座 异界断层之玉座,4,12,7,5(刷怪旋涡),4,a,
156,異界断層の玉座 异界断层之玉座,5,14,7,5(刷怪旋涡),4,a,
156,異界断層の玉座 异界断层之玉座,6,2,2,1f(采集点),3e,5,
156,異界断層の玉座 异界断层之玉座,7,6,7,1f(采集点),3e,5,
156,異界断層の玉座 异界断层之玉座,8,f,c,1f(采集点),3e,5,
156,異界断層の玉座 异界断层之玉座,9,9,3,20(挖掘点),3e,6,
156,異界断層の玉座 异界断层之玉座,10,c,3,20(挖掘点),3e,7,
156,異界断層の玉座 异界断层之玉座,11,1,1,1c,1e,,
156,異界断層の玉座 异界断层之玉座,12,7,1,1c,1e,,
156,異界断層の玉座 异界断层之玉座,13,2,6,1c,1e,,
156,異界断層の玉座 异界断层之玉座,14,e,8,1c,1e,,
156,異界断層の玉座 异界断层之玉座,15,c,a,1c,1e,,
156,異界断層の玉座 异界断层之玉座,16,e,6,12,2,,
156,異界断層の玉座 异界断层之玉座,17,e,b,12,2,,
156,異界断層の玉座 异界断层之玉座,18,4,7,12,2,,
156,異界断層の玉座 异界断层之玉座,19,5,b,12,2,,
156,異界断層の玉座 异界断层之玉座,20,b,5,12,2,,
156,異界断層の玉座 异界断层之玉座,21,1,9,12,2,,
156,異界断層の玉座 异界断层之玉座,22,e,5,f(治愈点),,,
156,異界断層の玉座 异界断层之玉座,23,14,4,7,869,1,
156,異界断層の玉座 异界断层之玉座,24,14,6,7,119,5,
156,異界断層の玉座 异界断层之玉座,25,4,4,8(宝物堆),d5,3,
156,異界断層の玉座 异界断层之玉座,26,e,1,8(宝物堆),142,2,
156,異界断層の玉座 异界断层之玉座,27,8,a,8(宝物堆),cd,a,
156,異界断層の玉座 异界断层之玉座,28,14,c,8(宝物堆),11b,2,
b6,閉ざされた浸水路 封闭的浸水路,0,3,3,5(刷怪旋涡),3,f,
b6,閉ざされた浸水路 封闭的浸水路,1,7,3,5(刷怪旋涡),4,b,
b6,閉ざされた浸水路 封闭的浸水路,2,7,7,5(刷怪旋涡),3,f,
b6,閉ざされた浸水路 封闭的浸水路,3,c,a,5(刷怪旋涡),3,f,
b6,閉ざされた浸水路 封闭的浸水路,4,10,a,5(刷怪旋涡),4,b,
b6,閉ざされた浸水路 封闭的浸水路,5,10,e,5(刷怪旋涡),3,f,
b6,閉ざされた浸水路 封闭的浸水路,6,5,12,5(刷怪旋涡),4,b,
b6,閉ざされた浸水路 封闭的浸水路,7,e,5,f(治愈点),,,
b6,閉ざされた浸水路 封闭的浸水路,8,e,5,10,,,
b6,閉ざされた浸水路 封闭的浸水路,9,8,8,20(挖掘点),42,6,
b6,閉ざされた浸水路 封闭的浸水路,10,a,9,20(挖掘点),42,6,
b6,閉ざされた浸水路 封闭的浸水路,11,4,12,20(挖掘点),42,4,
b6,閉ざされた浸水路 封闭的浸水路,12,9,1,1f(采集点),42,5,
b6,閉ざされた浸水路 封闭的浸水路,13,b,1,1f(采集点),42,6,
b6,閉ざされた浸水路 封闭的浸水路,14,11,7,1f(采集点),42,7,
b6,閉ざされた浸水路 封闭的浸水路,15,b,11,1f(采集点),42,5,
b6,閉ざされた浸水路 封闭的浸水路,16,11,1,1c,c,,
b6,閉ざされた浸水路 封闭的浸水路,17,1,8,1c,d,,
b6,閉ざされた浸水路 封闭的浸水路,18,11,6,1c,c,,
b6,閉ざされた浸水路 封闭的浸水路,19,d,d,1c,d,,
b6,閉ざされた浸水路 封闭的浸水路,20,a,f,1c,d,,
b6,閉ざされた浸水路 封闭的浸水路,21,13,2,8(宝物堆),12d,2,
b6,閉ざされた浸水路 封闭的浸水路,22,1,10,8(宝物堆),131,1,
b6,閉ざされた浸水路 封闭的浸水路,23,1,12,8(宝物堆),11f,1,
b6,閉ざされた浸水路 封闭的浸水路,24,2,12,8(宝物堆),22c,1,
b6,閉ざされた浸水路 封闭的浸水路,25,8,12,8(宝物堆),137,2,
b6,閉ざされた浸水路 封闭的浸水路,26,13,12,8(宝物堆),130,1,
b6,閉ざされた浸水路 封闭的浸水路,27,12,d,8(宝物堆),513,1,
b6,閉ざされた浸水路 封闭的浸水路,28,5,1,7,18a,1,
b6,閉ざされた浸水路 封闭的浸水路,29,13,10,7,b10,1,
b6,閉ざされた浸水路 封闭的浸水路,30,a,5,b,,,
b6,閉ざされた浸水路 封闭的浸水路,31,9,c,b,,,
b6,閉ざされた浸水路 封闭的浸水路,32,13,f,c,,,
b6,閉ざされた浸水路 封闭的浸水路,33,5,2,c,,,
b6,閉ざされた浸水路 封闭的浸水路,34,2,b,11,,,
b6,閉ざされた浸水路 封闭的浸水路,35,e,11,11,,,
b6,閉ざされた浸水路 封闭的浸水路,36,f,5,15,,,
b6,閉ざされた浸水路 封闭的浸水路,37,4,8,15,,,
b6,閉ざされた浸水路 封闭的浸水路,38,4,10,15,,,
b6,閉ざされた浸水路 封闭的浸水路,39,1,4,8(宝物堆),5db,1,
b6,閉ざされた浸水路 封闭的浸水路,40,b,8,8(宝物堆),63f,1,
b6,閉ざされた浸水路 封闭的浸水路,41,c,10,8(宝物堆),707,1,
b6,閉ざされた浸水路 封闭的浸水路,42,6,13,8(宝物堆),4af,1,
16d,深淵の大空洞 深渊的大空洞,0,c,e,2(出击门),,,
16d,深淵の大空洞 深渊的大空洞,1,8,3,5(刷怪旋涡),3,12,
16d,深淵の大空洞 深渊的大空洞,2,b,8,5(刷怪旋涡),2,1b,
16d,深淵の大空洞 深渊的大空洞,3,e,8,5(刷怪旋涡),2,1b,
16d,深淵の大空洞 深渊的大空洞,4,11,d,5(刷怪旋涡),3,12,
16d,深淵の大空洞 深渊的大空洞,5,5,2,20(挖掘点),3f,6,
16d,深淵の大空洞 深渊的大空洞,6,e,4,20(挖掘点),3f,8,
16d,深淵の大空洞 深渊的大空洞,7,14,2,20(挖掘点),3f,6,
16d,深淵の大空洞 深渊的大空洞,8,4,e,1f(采集点),3f,6,
16d,深淵の大空洞 深渊的大空洞,9,15,e,1f(采集点),3f,6,
16d,深淵の大空洞 深渊的大空洞,10,16,3,1c,26,,
16d,深淵の大空洞 深渊的大空洞,11,8,7,1c,26,,
16d,深淵の大空洞 深渊的大空洞,12,8,9,1c,26,,
16d,深淵の大空洞 深渊的大空洞,13,11,7,1c,26,,
16d,深淵の大空洞 深渊的大空洞,14,d,d,1c,26,,
16d,深淵の大空洞 深渊的大空洞,15,b,2,11,2,,
16d,深淵の大空洞 深渊的大空洞,16,2,c,11,2,,
16d,深淵の大空洞 深渊的大空洞,17,c,c,11,2,,
16d,深淵の大空洞 深渊的大空洞,18,3,4,11,2,,
16d,深淵の大空洞 深渊的大空洞,19,18,4,11,2,,
16d,深淵の大空洞 深渊的大空洞,20,17,c,11,2,,
16d,深淵の大空洞 深渊的大空洞,21,8,d,7,96d,1,
16d,深淵の大空洞 深渊的大空洞,22,11,3,7,b16,1,
16d,深淵の大空洞 深渊的大空洞,23,17,5,8(宝物堆),d3,1,
16d,深淵の大空洞 深渊的大空洞,24,14,e,8(宝物堆),d4,2,
16d,深淵の大空洞 深渊的大空洞,25,1,d,f(治愈点),,,
16d,深淵の大空洞 深渊的大空洞,26,18,3,f(治愈点),,,
16e,謀略の宝物庫 谋略的宝物库,0,7,5,2(出击门),,,
16e,謀略の宝物庫 谋略的宝物库,1,a,c,2(出击门),,,
16e,謀略の宝物庫 谋略的宝物库,2,e,5,1f(采集点),3f,7,
16e,謀略の宝物庫 谋略的宝物库,3,9,a,1f(采集点),3f,6,
16e,謀略の宝物庫 谋略的宝物库,4,12,c,1f(采集点),3f,8,
16e,謀略の宝物庫 谋略的宝物库,5,e,9,20(挖掘点),3f,7,
16e,謀略の宝物庫 谋略的宝物库,6,8,a,20(挖掘点),3f,7,
16e,謀略の宝物庫 谋略的宝物库,7,10,1,1c,26,,
16e,謀略の宝物庫 谋略的宝物库,8,12,5,1c,26,,
16e,謀略の宝物庫 谋略的宝物库,9,d,c,1c,26,,
16e,謀略の宝物庫 谋略的宝物库,10,d,12,1c,26,,
16e,謀略の宝物庫 谋略的宝物库,11,f,12,1c,26,,
16e,謀略の宝物庫 谋略的宝物库,12,c,5,6,2,f,
16e,謀略の宝物庫 谋略的宝物库,13,9,6,6,2,6,
16e,謀略の宝物庫 谋略的宝物库,14,9,7,6,5,6,
16e,謀略の宝物庫 谋略的宝物库,15,a,6,6,f,6,
16e,謀略の宝物庫 谋略的宝物库,16,a,7,6,e,e,
16e,謀略の宝物庫 谋略的宝物库,17,5,6,6,9,7,
16e,謀略の宝物庫 谋略的宝物库,18,2,6,6,9,6,
16e,謀略の宝物庫 谋略的宝物库,19,e,e,6,a,7,
16e,謀略の宝物庫 谋略的宝物库,20,f,6,6,a,6,
16e,謀略の宝物庫 谋略的宝物库,21,2,f,6,c,5,
16e,謀略の宝物庫 谋略的宝物库,22,a,e,6,2,14,
16e,謀略の宝物庫 谋略的宝物库,23,2,14,6,a,e,
16e,謀略の宝物庫 谋略的宝物库,24,2,c,9,,,
16e,謀略の宝物庫 谋略的宝物库,25,6,b,9,,,
16e,謀略の宝物庫 谋略的宝物库,26,6,1,1e,,,
16e,謀略の宝物庫 谋略的宝物库,27,6,2,1e,,,
16e,謀略の宝物庫 谋略的宝物库,28,6,3,1e,,,
16e,謀略の宝物庫 谋略的宝物库,29,f,1,17(陷阱),2,,
16e,謀略の宝物庫 谋略的宝物库,30,e,3,18,2,,
16e,謀略の宝物庫 谋略的宝物库,31,d,2,19,2,,
16e,謀略の宝物庫 谋略的宝物库,32,a,11,e,,,
16e,謀略の宝物庫 谋略的宝物库,33,2,11,22,,,
16e,謀略の宝物庫 谋略的宝物库,34,2,12,22,,,
16e,謀略の宝物庫 谋略的宝物库,35,5,11,7,b22,1,
16e,謀略の宝物庫 谋略的宝物库,36,a,14,7,b1b,1,
16e,謀略の宝物庫 谋略的宝物库,37,5,f,8(宝物堆),d4,3,
16e,謀略の宝物庫 谋略的宝物库,38,5,10,8(宝物堆),11a,5,
16e,謀略の宝物庫 谋略的宝物库,39,6,10,8(宝物堆),d3,1,
16e,謀略の宝物庫 谋略的宝物库,40,6,f,8(宝物堆),141,5,
16e,謀略の宝物庫 谋略的宝物库,41,7,f,8(宝物堆),142,2,
16e,謀略の宝物庫 谋略的宝物库,42,7,10,8(宝物堆),119,5,
16e,謀略の宝物庫 谋略的宝物库,43,7,11,7,b23,1,
16e,謀略の宝物庫 谋略的宝物库,44,e,12,8(宝物堆),11b,5,
16e,謀略の宝物庫 谋略的宝物库,45,9,13,7,132,3,
16f,最果ての電撃回廊 尽头的电击回廊,0,c,a,2(出击门),,,
16f,最果ての電撃回廊 尽头的电击回廊,1,14,3,2(出击门),2,,
16f,最果ての電撃回廊 尽头的电击回廊,2,14,14,2(出击门),2,,
16f,最果ての電撃回廊 尽头的电击回廊,3,1,d,5(刷怪旋涡),4,f,
170,粘体の保養地 史莱姆的疗养地,0,a,2,2(出击门),,,
170,粘体の保養地 史莱姆的疗养地,1,9,9,5(刷怪旋涡),4,f,
170,粘体の保養地 史莱姆的疗养地,2,9,b,5(刷怪旋涡),3,12,
170,粘体の保養地 史莱姆的疗养地,3,b,9,5(刷怪旋涡),3,12,
170,粘体の保養地 史莱姆的疗养地,4,b,b,5(刷怪旋涡),4,f,
170,粘体の保養地 史莱姆的疗养地,5,3,2,5(刷怪旋涡),5,c,
170,粘体の保養地 史莱姆的疗养地,6,1,14,5(刷怪旋涡),4,f,
170,粘体の保養地 史莱姆的疗养地,7,13,7,5(刷怪旋涡),6,a,
170,粘体の保養地 史莱姆的疗养地,8,11,9,20(挖掘点),3f,8,
170,粘体の保養地 史莱姆的疗养地,9,d,f,20(挖掘点),3f,8,
170,粘体の保養地 史莱姆的疗养地,10,3,f,20(挖掘点),3f,8,
170,粘体の保養地 史莱姆的疗养地,11,12,c,20(挖掘点),3f,8,
170,粘体の保養地 史莱姆的疗养地,12,11,10,20(挖掘点),3f,7,
170,粘体の保養地 史莱姆的疗养地,13,3,5,1f(采集点),3f,7,
170,粘体の保養地 史莱姆的疗养地,14,1,d,1f(采集点),3f,8,
170,粘体の保養地 史莱姆的疗养地,15,a,5,1c,26,,
170,粘体の保養地 史莱姆的疗养地,16,a,f,1c,26,,
170,粘体の保養地 史莱姆的疗养地,17,6,2,1c,26,,
170,粘体の保養地 史莱姆的疗养地,18,11,1,1c,26,,
170,粘体の保養地 史莱姆的疗养地,19,2,12,1c,26,,
170,粘体の保養地 史莱姆的疗养地,20,5,5,11,2,,
170,粘体の保養地 史莱姆的疗养地,21,2,e,13,2,,
170,粘体の保養地 史莱姆的疗养地,22,6,13,11,2,,
170,粘体の保養地 史莱姆的疗养地,23,e,3,12,2,,
170,粘体の保養地 史莱姆的疗养地,24,13,4,15,2,,
170,粘体の保養地 史莱姆的疗养地,25,10,9,12,2,,
170,粘体の保養地 史莱姆的疗养地,26,11,14,13,2,,
170,粘体の保養地 史莱姆的疗养地,27,4,9,15,2,,
170,粘体の保養地 史莱姆的疗养地,28,e,8,16,2,,
170,粘体の保養地 史莱姆的疗养地,29,13,f,16,2,,
170,粘体の保養地 史莱姆的疗养地,30,4,12,7,b16,1,
170,粘体の保養地 史莱姆的疗养地,31,4,13,7,96d,1,
170,粘体の保養地 史莱姆的疗养地,32,e,c,7,b1e,1,
170,粘体の保養地 史莱姆的疗养地,33,3,4,7,b1f,1,
170,粘体の保養地 史莱姆的疗养地,34,13,c,7,b20,1,
170,粘体の保養地 史莱姆的疗养地,35,6,9,7,b21,1,
170,粘体の保養地 史莱姆的疗养地,36,2,9,8(宝物堆),d3,1,
170,粘体の保養地 史莱姆的疗养地,37,10,10,8(宝物堆),d4,2,
170,粘体の保養地 史莱姆的疗养地,38,11,3,8(宝物堆),11e,2,
170,粘体の保養地 史莱姆的疗养地,39,10,4,8(宝物堆),121,2,
170,粘体の保養地 史莱姆的疗养地,40,6,5,f(治愈点),,,
170,粘体の保養地 史莱姆的疗养地,41,12,11,f(治愈点),,,
322,掘削された空洞 掘削出的空洞,0,b,6,5(刷怪旋涡),4,a,
