说话人名称:说话人ID:日文原文（出现多次）,章节_1,当前翻译_1,章节_2,当前翻译_2,章节_3,当前翻译_3,章节_4,当前翻译_4,章节_5,当前翻译_5,章节_6,当前翻译_6,章节_7,当前翻译_7,章节_8,当前翻译_8,章节_9,当前翻译_9,章节_10,当前翻译_10,章节_11,当前翻译_11,章节_12,当前翻译_12,章节_13,当前翻译_13,章节_14,当前翻译_14,章节_15,当前翻译_15,章节_16,当前翻译_16,章节_17,当前翻译_17,章节_18,当前翻译_18,章节_19,当前翻译_19,章节_20,当前翻译_20,章节_21,当前翻译_21,章节_22,当前翻译_22,章节_23,当前翻译_23,章节_24,当前翻译_24,章节_25,当前翻译_25,章节_26,当前翻译_26,章节_27,当前翻译_27,章节_28,当前翻译_28,章节_29,当前翻译_29,章节_30,当前翻译_30,章节_31,当前翻译_31,章节_32,当前翻译_32,章节_33,当前翻译_33,章节_34,当前翻译_34,章节_35,当前翻译_35,章节_36,当前翻译_36,章节_37,当前翻译_37,章节_38,当前翻译_38,章节_39,当前翻译_39,章节_40,当前翻译_40,章节_41,当前翻译_41,章节_42,当前翻译_42,章节_43,当前翻译_43,章节_44,当前翻译_44,章节_45,当前翻译_45,章节_46,当前翻译_46,章节_47,当前翻译_47,章节_48,当前翻译_48,章节_49,当前翻译_49,章节_50,当前翻译_50,章节_51,当前翻译_51,章节_52,当前翻译_52,章节_53,当前翻译_53,章节_54,当前翻译_54,章节_55,当前翻译_55,章节_56,当前翻译_56,章节_57,当前翻译_57,章节_58,当前翻译_58,章节_59,当前翻译_59,章节_60,当前翻译_60,章节_61,当前翻译_61,章节_62,当前翻译_62,章节_63,当前翻译_63,章节_64,当前翻译_64,章节_65,当前翻译_65,章节_66,当前翻译_66,章节_67,当前翻译_67,章节_68,当前翻译_68,章节_69,当前翻译_69,章节_70,当前翻译_70,章节_71,当前翻译_71,章节_72,当前翻译_72,章节_73,当前翻译_73,章节_74,当前翻译_74,章节_75,当前翻译_75,章节_76,当前翻译_76,章节_77,当前翻译_77,章节_78,当前翻译_78,章节_79,当前翻译_79,章节_80,当前翻译_80
none:none:それを知ることができれば、反対に救う方法だって分かるんじゃないか？,SC0160,若能查明这些，反过来是不是也就能找到拯救她的方法……？,SC0160,若能查明这些，反过来是不是也就能找到拯救她的方法……？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:だが戦場にも竜族の住処にも、首謀者であるカルメルグの姿は見当たらなかった。,SC0190,然而，无论是战场上还是龙族的住处，都找不到主谋卡尔梅尔格的身影。,SC0190,然而，无论是战场上还是龙族的住处，都找不到主谋卡尔梅尔格的身影。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:ただ少し延期するだけで、俺たちが成功すれば任務自体がなくなるか、失敗すればより利益を追求した上でいずれ任務を完遂できる。,SC0160,仅仅稍作延期——若我们成功，任务本身便会消失；若失败，马兹忒利亚也能在追求更大利益之后，于某日完成任务。,SC0160,仅仅稍作延期——若我们成功，任务本身便会消失；若失败，马兹忒利亚也能在追求更大利益之后，于某日完成任务。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:ちっともそう思えない表情で、ガイダルは親心を示した。,SC0190,盖达鲁摆出一副完全不像那么想的表情，展示着他的慈父之心。,SC0190,盖达鲁摆出一副完全不像那么想的表情，展示着他的慈父之心。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:つまり、禁忌として神の力を原動力としていても、それがフィアの能力であると認識されている限りは手を下さないと。,SC0160,也就是说，只要城砦虽属禁忌、以神之力量为动力，却被认定为菲亚的能力，她就不会动手。,SC0160,也就是说，只要城砦虽属禁忌、以神之力量为动力，却被认定为菲亚的能力，她就不会动手。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:どうしていつも友好的に接せられているのに、こんなにも信用できないんだ。,SC0190,为什么明明他总是以友好的态度相待，我却还是这么难以信任他呢。,SC0190,为什么明明他总是以友好的态度相待，我却还是这么难以信任他呢。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:ひとまず、城砦に戻って今後のことを考えよう。,SC0160,暂且先回到城砦，考虑今后的打算吧。,SC0160,暂且先回到城砦，考虑今后的打算吧。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:フィアは、どういう経緯を以てグアラクーナ城砦に封印された。,SC0160,菲亚又是经由怎样的经过，被封印进古亚拉库娜城砦的。,SC0160,菲亚又是经由怎样的经过，被封印进古亚拉库娜城砦的。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:ふう。なんとか、なったか。,SC0160,呼。……总算是，谈成了吧。,SC0160,呼。……总算是，谈成了吧。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:マーズテリア神殿所属のミクシュアナが『<ruby>神響<rt>しんきょう</rt></ruby>の<ruby>霞廊<rt>さんろ</rt></ruby>』への旅路に同行することになった。,SC0160,隶属马兹忒利亚神殿的米克修亚娜，决定同行前往『神响霞廊』的旅途。,SC0160,隶属马兹忒利亚神殿的米克修亚娜，决定同行前往『神响霞廊』的旅途。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:ましてや、先ほどまで戦っていたのだ。,SC0190,更何况，刚才我们还在交战。,SC0190,更何况，刚才我们还在交战。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:ミクシュアナにより上等な結果を求める気概があるならば、ただでは殺さずに俺たちを利用する選択肢も思考するはずだ。,SC0160,只要米克修亚娜怀有追求更优结果的魄力，她就理应会考虑不轻易杀掉我们、转而利用我们的选项。,SC0160,只要米克修亚娜怀有追求更优结果的魄力，她就理应会考虑不轻易杀掉我们、转而利用我们的选项。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:ミクシュアナはそう言って歩いて行く。,SC0160,米克修亚娜说完便迈步离去。,SC0160,米克修亚娜说完便迈步离去。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:もうちょっと探してみてもいいだろうが、どうするかな。,SC0650,再多找找倒也无妨，不过该怎么办呢。,SC0650,再多找找倒也无妨，不过该怎么办呢。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:よかった。食いついてくれたか。,SC0160,太好了……。她上钩了。,SC0160,太好了……。她上钩了。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:移動拠点という強力な兵器はいったい誰が作った？　どうやって世界の支配者である神を封印した？,SC0160,这号称移动据点的强大兵器，究竟是谁制造的？又是如何封印了身为世界统治者的神明？,SC0160,这号称移动据点的强大兵器，究竟是谁制造的？又是如何封印了身为世界统治者的神明？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:一方で、楽しそうな声が<ruby>耳朶<rt>じだ</rt></ruby>を打つ。,SC0160,另一边，欢快的笑语声传入耳中。,SC0160,另一边，欢快的笑语声传入耳中。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:俺が気になっているのは、まさにそこなんだ。,SC0160,我在意的，恰恰就是这一点。,SC0160,我在意的，恰恰就是这一点。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:俺が気になっているのは、記憶がなくなる前のフィアのことだ。,SC0160,我在意的是失去记忆之前的菲亚。,SC0160,我在意的是失去记忆之前的菲亚。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:俺たちは『<ruby>雷府<rt>らいふ</rt></ruby>の<ruby>雲海<rt>うんかい</rt></ruby>』を越えて、『<ruby>神響<rt>しんきょう</rt></ruby>の<ruby>霞廊<rt>さんろ</rt></ruby>』を目指すしかないのだ。,SC0190,我们只能越过『雷府云海』，向着『神响霞廊』前进。,SC0190,我们只能越过『雷府云海』，向着『神响霞廊』前进。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
