说话人名称:说话人ID:日文原文（出现多次）,章节_1,当前翻译_1,章节_2,当前翻译_2,章节_3,当前翻译_3,章节_4,当前翻译_4,章节_5,当前翻译_5,章节_6,当前翻译_6,章节_7,当前翻译_7,章节_8,当前翻译_8,章节_9,当前翻译_9,章节_10,当前翻译_10,章节_11,当前翻译_11,章节_12,当前翻译_12,章节_13,当前翻译_13,章节_14,当前翻译_14,章节_15,当前翻译_15,章节_16,当前翻译_16,章节_17,当前翻译_17,章节_18,当前翻译_18,章节_19,当前翻译_19,章节_20,当前翻译_20,章节_21,当前翻译_21,章节_22,当前翻译_22,章节_23,当前翻译_23,章节_24,当前翻译_24,章节_25,当前翻译_25,章节_26,当前翻译_26,章节_27,当前翻译_27,章节_28,当前翻译_28,章节_29,当前翻译_29,章节_30,当前翻译_30,章节_31,当前翻译_31,章节_32,当前翻译_32,章节_33,当前翻译_33,章节_34,当前翻译_34,章节_35,当前翻译_35,章节_36,当前翻译_36,章节_37,当前翻译_37,章节_38,当前翻译_38,章节_39,当前翻译_39,章节_40,当前翻译_40,章节_41,当前翻译_41,章节_42,当前翻译_42,章节_43,当前翻译_43,章节_44,当前翻译_44,章节_45,当前翻译_45,章节_46,当前翻译_46,章节_47,当前翻译_47,章节_48,当前翻译_48,章节_49,当前翻译_49,章节_50,当前翻译_50,章节_51,当前翻译_51,章节_52,当前翻译_52,章节_53,当前翻译_53,章节_54,当前翻译_54,章节_55,当前翻译_55,章节_56,当前翻译_56,章节_57,当前翻译_57,章节_58,当前翻译_58,章节_59,当前翻译_59,章节_60,当前翻译_60,章节_61,当前翻译_61,章节_62,当前翻译_62,章节_63,当前翻译_63,章节_64,当前翻译_64,章节_65,当前翻译_65,章节_66,当前翻译_66,章节_67,当前翻译_67,章节_68,当前翻译_68,章节_69,当前翻译_69,章节_70,当前翻译_70,章节_71,当前翻译_71,章节_72,当前翻译_72,章节_73,当前翻译_73,章节_74,当前翻译_74,章节_75,当前翻译_75,章节_76,当前翻译_76,章节_77,当前翻译_77,章节_78,当前翻译_78,章节_79,当前翻译_79,章节_80,当前翻译_80
アヴァロ:1:「ああ、すごく驚いた。これ、どうしたんだ？　針団の馬車はまだ城砦の中にあるはずじゃ」,SC0280,「啊，我确实很吃惊。这是怎么回事……？针团的马车应该还在城砦里才对……」,SC0770,「是啊，吓了一大跳。这个，是怎么回事……？针团的马车，应该还在城砦里才对……」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「ああ、その通りだ」,SC2180,「啊，说得对」,SC2710,「啊，没错」,SC3270,「啊，正是如此」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「ああ。だからもう喋るな」,SC0130,「嗯。所以别再说了」,SC0740,「嗯。所以别再说话了」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「え？」,SC0280,「咦……？」,SC0620,「诶……？」,SC2710,「诶……？」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「お、おう。そうだな」,SC1500,「哦、哦。是啊」,SC3030,「哦、哦。说得也是」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「ずいぶんと準備がいいんだな。もしかして、こうなることが分かってたのか？」,SC0280,「你准备得可真周到。难道你早就料到会变成这样？」,SC0770,「准备得可真周到啊。莫非，你早就料到会变成这样了？」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「そ、それは」,SC1620,「那、那是……」,SC2770,「那、那是因为……」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「そういうことだ」,SC3060,「就是这么回事」,SC5410,「正是如此」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「そうか」,SC0500,「是吗……」,SC0680,「是吗……」,SC1680,「这样啊……」,SC2180,「是吗……」,SP0131,「是吗……」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「そりゃ、有り難いよ、すげぇ有り難いんだけどさ」,SC0280,「那真是，太感谢了，真的感激不尽」,SC0770,「那还真是帮大忙了，超级帮大忙，不过啊」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「それじゃあっ」,SC0620,「那就——」,SC5770,「那就——！」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「どういうことだ？」,SC0190,「什么意思……？」,SC2270,「什么意思……？」,SC6660,「怎么回事……？」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「どういう意味だ？」,SC0800,「这话是什么意思？」,SC5770,「什么意思？」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「な、なんだ！？」,SC0680,「怎、怎么回事！？」,SC2590,「什、什么！？」,SC6690,「什、什么！？」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「なにが？」,SC2150,「什么没问题？」,SC2180,「哪里不对？」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「なにを、言っているんだ？」,SC1650,「你在、说什么……？」,SC2210,「你到底，在说什么……？」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「なんでここに、コレがあるんだ？」,SC0280,「这东西，怎么会在这里……？」,SC0770,「为什么这东西，会在这里……？」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「もう会いたくねぇ」,SC5860,「再也不想见到你了……」,SC6660,「可不想再见到他了……。」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「昔より人数が減っているのは、そのせいか」,SC0280,「难怪人数比以前少了，原来是因为这个……」,SC0770,「比起从前人数变少了，就是因为这个吗……」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「本当に助かるよ。フィアを取り返す為にも、装備や道具を調えたかったんだ」,SC0280,「真是帮大忙了。为了夺回菲亚，我正想备齐装备和道具呢」,SC0770,「真的帮大忙了。为了夺回菲亚，我也正想备齐装备和道具呢」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「あ、ああ」,$5$SC2860,「……啊、啊啊」,SC2180,「……啊、嗯」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「ああ、そうだな」,SC1500,「……啊，是啊」,SC2130,「——嗯，确实如此」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「ああ、その通りだ」,SC1560,「——嗯，正是如此」,SC4070,「……啊，说得对」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「ああ。城砦の工房より、使ってた年月が長いくらいだよ、ったく」,SC0280,「……啊。我在这待的时间，说不定比在城砦工房还长呢，唉」,SC0770,「……是啊。用它的年头，怕是比城砦的工房还久了，真是的」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「ああ」,SC0000,「嗯」,SC0220,「……嗯」,SC2100,「……嗯」,SC2100,「……嗯」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「ガイダル」,SC0710,……盖达鲁,SC2710,「……盖达鲁」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「キスニル？」,SC0560,「——姬斯尼尔？」,SC1500,「……姬斯尼尔？」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「そ、そうか」,SP0623,「……是、是吗」,SP2091,「……这、这样啊」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「そうか」,SC0000,「是吗」,SC0190,「……这样啊」,SC0220,「……这样啊」,SC0740,「……原来如此」,SC1620,「……是吗」,SC1650,「……这样啊」,SC1680,「……这样啊」,SC2090,「……是吗」,SC2090,「……是吗」,SC2270,「……这样啊」,SC2650,「……是吗。」,SC2710,「……是吗」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「そうだったのか」,SC0000,「原来如此」,SC2090,「……原来是这样」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「そっか」,SC0000,「是吗」,SC0250,「……这样啊」,SC2120,「……这样啊」,SC2270,「……这样啊」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「ついに、来たか」,SC1500,「……终于，来了吗」,SC1740,「……终于，到了这一刻啊。」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「どういうことだ？」,$3$SC1840,「……什么意思？」,SC1500,「……什么意思？」,SC2210,「……什么意思？」,SC2800,「……这是什么意思？」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「はあ？　なんのことだ」,SC5860,「……哈？你在说什么」,SC6660,「……哈？你在说什么？」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「本当に？」,SC2150,「……真的？」,SP0680,「……真的吗？」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「」,$3$SC1840,「…………」,$3$SC1840,「…………」,$3$SP2341,…………,$4$SC3370,「……」,$4$SC3370,「……」,$4$SP3373,「…………」,$5$SC0370,「……」,$5$SC0860,「…………」,$5$SC0860,「…………」,$5$SC0860,「…………」,$5$SC0860,「…………」,$5$SC2860,「……」,SC0000,「……」,SC0160,「…………」,SC0160,「…………」,SC0280,「…………」,SC0280,「…………」,SC0280,「…………」,SC0280,「…………」,SC0280,「…………」,SC0280,「…………」,SC0560,「——」,SC0620,「…………」,SC0620,「…………」,SC0620,「…………」,SC0620,「…………」,SC0680,「…………」,SC0740,「…………」,SC0740,「…………」,SC0740,「…………」,SC0740,「…………」,SC0740,「…………」,SC1560,「——」,SC1590,「…………」,SC1650,「…………」,SC1650,「…………」,SC1680,「…………」,SC1680,「…………」,SC1740,「…………」,SC1740,「…………」,SC1740,「…………」,SC1740,「…………」,SC2000,「…………」,SC2060,「…………」,SC2090,「…………」,SC2100,「…………」,SC2120,「…………」,SC2130,「——」,SC2150,「…………」,SC2150,「…………」,SC2150,「…………」,SC2180,「…………」,SC2180,「…………」,SC2180,「…………」,SC2180,「…………」,SC2210,「…………」,SC2270,「…………」,SC2270,「…………」,SC2270,「…………」,SC2270,「…………」,SC2270,「…………」,SC2650,「…………」,SC2710,「…………」,SC2710,「…………」,SC2710,「…………」,SC2710,「…………」,SC2710,「…………」,SC2710,「…………」,SC2710,「…………」,SC2710,「…………」,SC2740,「…………」,SC2740,「…………」,SC2770,「……」,SC2770,「……」,SC2770,「……」,SC3240,「…………」,SC3270,「………………」,SC4280,「…………」,SP0623,「…………」,SP0680,「…………」
アヴァロ:1:「ああ」,SC0190,「……啊」,SC0190,「……啊」,SC2130,「——嗯」,SC2180,「…………啊、嗯」,SC2190,「…………啊啊」,SC2710,「…………啊」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
